specimen_id,source,accession_or_record_id,license_or_terms,taxon,anatomical_structure,notes
LP,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
MOLF,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
MOLG,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
MRL_MPJ,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
NOD_SHILTJ,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
NOR,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
NU_J,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
NZB,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
NZBWF1_J,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
NZO,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
NZW_LACJ,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
PERC,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
PL,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
PWD,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
PWK,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
SF,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
SJL_J,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
SKIVE,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
SM,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
SPRET,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
SWR,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
TALLYHO_JNGJ,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
WSB,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
X129P3,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
